date,card_id,name,set_name,variant,market,low,mid,high,cm_trend,cm_avg30
2026-06-20,swsh7-218,Rayquaza VMAX,Evolving Skies,holofoil,1055.07,1249.99,1494.84,3499.99,780.69,779.21
2026-06-20,xy12-11,Charizard,Evolutions,holofoil,109.41,79.99,112.65,10000.0,212.71,134.35
2026-06-21,base1-15,Venusaur,Base,holofoil,153.42,102.88,180.0,1199.0,841.63,506.89
2026-06-21,base1-2,Blastoise,Base,holofoil,223.16,149.0,254.29,9999.0,148.71,129.47
2026-06-21,base1-4,Charizard,Base,holofoil,630.39,534.99,699.99,1500.0,2711.81,1936.58
2026-06-21,gym2-2,Blaine's Charizard,Gym Challenge,unlimitedHolofoil,557.05,380.98,599.5,1499.99,676.85,522.51
2026-06-21,neo1-9,Lugia,Neo Genesis,unlimitedHolofoil,533.4,294.07,449.94,615.74,394.43,299.86
2026-06-21,sma-SV49,Charizard-GX,Hidden Fates Shiny Vault,holofoil,675.73,550.0,789.98,960.0,528.86,544.46
2026-06-21,sv3pt5-199,Charizard ex,151,holofoil,464.86,379.99,500.0,10000.0,235.71,272.73
2026-06-21,sv4pt5-234,Charizard ex,Paldean Fates,holofoil,337.78,300.0,395.12,1688.9,208.67,220.28
2026-06-21,swsh11-186,Giratina V,Lost Origin,holofoil,844.61,820.0,903.73,4223.05,566.41,599.82
2026-06-21,swsh35-74,Charizard VMAX,Champion's Path,holofoil,224.65,209.0,284.48,2300.0,173.62,198.95
2026-06-21,swsh45sv-SV107,Charizard VMAX,Shining Fates Shiny Vault,holofoil,151.37,134.8,182.14,349.95,121.12,133.87
2026-06-21,swsh7-215,Umbreon VMAX,Evolving Skies,holofoil,2206.06,1985.5,2625.0,6000.0,1579.48,1538.35
2026-06-21,swsh7-218,Rayquaza VMAX,Evolving Skies,holofoil,1055.07,1249.99,1494.69,3499.99,780.69,779.21
2026-06-21,xy12-11,Charizard,Evolutions,holofoil,109.41,79.99,111.23,10000.0,212.71,134.35
2026-06-22,base1-15,Venusaur,Base,holofoil,155.78,102.49,180.0,1199.0,841.63,504.39
2026-06-22,base1-2,Blastoise,Base,holofoil,223.16,149.0,235.0,9999.0,140.42,139.78
2026-06-22,base1-4,Charizard,Base,holofoil,630.39,534.99,699.99,1500.0,2711.81,1992.94
2026-06-22,gym2-2,Blaine's Charizard,Gym Challenge,unlimitedHolofoil,557.05,479.99,600.0,1499.99,676.85,523.66
2026-06-22,neo1-9,Lugia,Neo Genesis,unlimitedHolofoil,533.4,294.07,449.94,615.74,307.13,325.2
2026-06-22,sma-SV49,Charizard-GX,Hidden Fates Shiny Vault,holofoil,675.73,550.0,789.98,960.0,528.86,544.46
2026-06-22,sv3pt5-199,Charizard ex,151,holofoil,461.39,379.99,499.0,10000.0,235.71,272.73
2026-06-22,sv4pt5-234,Charizard ex,Paldean Fates,holofoil,336.53,318.6,397.62,1682.65,208.67,220.28
2026-06-22,swsh11-186,Giratina V,Lost Origin,holofoil,859.29,820.0,903.41,4296.45,566.41,599.82
2026-06-22,swsh35-74,Charizard VMAX,Champion's Path,holofoil,224.65,145.0,250.0,2300.0,173.62,198.95
